start_date,end_date,title,color,Title,Crew,Notes
30/07/2026,26/08/2026,Pre-Build,#d4a574,"Pre-Build in Silver Springs, NV",KS,"Install new shower, upgrade solar, repair AC units"
15/08/2026,21/08/2026,KS in Denver,#A3D9FF,Kimber in Denver for Work,KS,Fly out morning of return late evening. 
27/08/2026,29/08/2026,Playa Build,#7E6B8F,Drive out Wednesday overnight / early morning,KS,
30/08/2026,07/09/2026,Burning Man,#DA3E52,,,
06/09/2026,06/09/2026,Strike,#96E6B3,Packdown on Playa begins,,Strike all day. Watch temple burn then sleep. 
07/09/2026,07/09/2026,MOOP Sweep,#96E6B3,Final MOOP sweep and Exodus,,"MOOP sweep at first light, pack final tents and head back to the default. "
